userName,score,content,at,cleaning,case_folding,normalization,stopword_removal,translated_review,sentiment
Muchlis,5,memudahkan,2026-03-23 11:04:08,memudahkan,memudahkan,memudahkan,memudahkan,makes it easier,neutral
Aaronio Ricarta,1,iklan nya tolong dikurangi ganggu bener apa apaan 20 detik cuma buat iklan dengan tombol X kecil kek biji,2026-03-23 10:59:48,iklan nya tolong dikurangi ganggu bener apa apaan detik cuma buat iklan dengan tombol x kecil kek biji,iklan nya tolong dikurangi ganggu bener apa apaan detik cuma buat iklan dengan tombol x kecil kek biji,iklan nya tolong dikurangi ganggu benar apa apaan detik cuma buat iklan dengan tombol kali kecil kayak biji,iklan dikurangi ganggu benar apa apaan detik cuma buat iklan dengan tombol kali kecil kayak biji,"minus the annoying ads, what's the matter, just create an ad with a small button like a seed",negative
Pengguna Google,5,aneh padahal udh order tpi dari system gojeknya malah ke order 2 kali,2026-03-23 10:55:22,aneh padahal udh order tpi dari gojeknya malah order kali,aneh padahal udh order tpi dari gojeknya malah order kali,aneh padahal sudah order tapi dari gojeknya malah order kali,aneh sudah tapi gojeknya malah kali,"it's strange, but the gojek is even better",positive
Raxel Muhammad,5,terbaik,2026-03-23 10:53:25,terbaik,terbaik,terbaik,terbaik,best,positive
Mas Tony,1,apk buruk,2026-03-23 10:50:12,apk buruk,apk buruk,aplikasi buruk,aplikasi buruk,bad app,negative
Crosby by,2,"Pesan makan 2 kali hampir 2 jam, ga ada yang jelas 😂, mau di bilang situasinya yang seperti ini seperti itu, tapi ga gini juga. Tahun sebelum2nya juga waktu lebaran ga gini kali. Maaf berkeluh kesah, karena dah kelaparan.",2026-03-23 10:37:35,pesan makan kali hampir jam ga ada yang jelas mau bilang situasinya yang seperti ini seperti itu tapi ga gini juga tahun juga waktu lebaran ga gini kali maaf berkeluh kesah karena dah kelaparan,pesan makan kali hampir jam ga ada yang jelas mau bilang situasinya yang seperti ini seperti itu tapi ga gini juga tahun juga waktu lebaran ga gini kali maaf berkeluh kesah karena dah kelaparan,pesan makan kali hampir jam tidak ada yang jelas mau bilang situasinya yang seperti ini seperti itu tapi tidak begini juga tahun juga waktu lebaran tidak begini kali maaf berkeluh kesah karena deh kelaparan,pesan makan kali hampir jam tidak ada yang jelas mau bilang situasinya yang seperti ini seperti itu tapi tidak begini tahun waktu lebaran tidak begini kali berkeluh kesah karena kelaparan,"ordering food almost at no time, no one clearly wants to say the situation is like this, it's like that, but not like this, this year, during eid, it's not like this, times when you complain about being hungry",positive
tiga brothers,5,bnyk promo nya dan pesanan cepat sampai,2026-03-23 10:32:38,promo nya dan pesanan cepat sampai,promo nya dan pesanan cepat sampai,promo nya dan pesanan cepat sampai,promo dan pesanan cepat sampai,promotions and orders arrive quickly,positive
Nurhayati Nuril,5,pelayanan bagus . driver sopan dan ramah . aplikasi sangat membantu,2026-03-23 10:32:18,pelayanan bagus driver sopan dan ramah aplikasi sangat membantu,pelayanan bagus driver sopan dan ramah aplikasi sangat membantu,pelayanan bagus driver sopan dan ramah aplikasi sangat membantu,pelayanan bagus driver sopan dan ramah aplikasi sangat membantu,"good service, polite and friendly drivers, the application is very helpful",positive
Afzar Hasiq,5,nyaman,2026-03-23 10:27:31,nyaman,nyaman,nyaman,nyaman,comfortable,positive
Dimasarya Saputra,5,makanan nya murah murah nga kayak aplikasi sebelah,2026-03-23 10:24:59,makanan nya murah murah nga kayak aplikasi sebelah,makanan nya murah murah nga kayak aplikasi sebelah,makanan nya murah murah enggak kayak aplikasi sebelah,makanan enggak kayak aplikasi sebelah,food isn't like the other apps,negative
Mayang Sari,1,KK gw hampir celaka gara gara gojeknya ngebut plus maksa nerobos,2026-03-23 10:21:00,hampir celaka gara gara gojeknya ngebut plus maksa nerobos,hampir celaka gara gara gojeknya ngebut plus maksa nerobos,hampir celaka gara gara gojeknya ngebut plus maksa nerobos,hampir celaka gara gara gojeknya ngebut plus maksa nerobos,almost had an accident because the gojek was speeding and forced to break through,negative
rizki prabowo,4,membantu,2026-03-23 10:16:13,membantu,membantu,membantu,membantu,help,neutral
Mr Rofik,5,gojek memang ok,2026-03-23 10:11:01,gojek memang ok,gojek memang ok,gojek memang baik,gojek memang baik,gojek is really good,positive
Asep Rohman,3,cari drivernya susah sampai dua jam nunggu ga ada yang masuk cepat yang baru baru2.,2026-03-23 10:10:56,cari drivernya susah sampai dua jam nunggu ga ada yang masuk cepat yang baru,cari drivernya susah sampai dua jam nunggu ga ada yang masuk cepat yang baru,cari drivernya susah sampai dua jam menunggu tidak ada yang masuk cepat yang baru,cari drivernya susah sampai dua jam menunggu tidak ada yang masuk cepat yang baru,"it was difficult to find a driver, waiting for two hours, no one came in quickly, a new one",negative
ardwin dendy,5,"aplikasi yg sangat membantu, semoga selalu berinovasi dan bermanfaat lebih lagi",2026-03-23 10:10:05,aplikasi sangat membantu semoga selalu berinovasi dan bermanfaat lebih lagi,aplikasi sangat membantu semoga selalu berinovasi dan bermanfaat lebih lagi,aplikasi sangat membantu semoga selalu berinovasi dan bermanfaat lebih lagi,aplikasi sangat membantu semoga selalu berinovasi dan bermanfaat lebih lagi,"the application is very helpful, hopefully it will always innovate and be even more useful",positive
surya tanuatmaja,5,baik,2026-03-23 10:10:04,baik,baik,baik,baik,good,positive
Ajie Agung Prabowo,5,"aplikasi saya dalam nyari nafkah, jadi jangan pernah tertinggal tentang apa yang tercanggih dan update setiap versinya ya",2026-03-23 10:09:31,aplikasi saya dalam nyari nafkah jadi jangan pernah tertinggal tentang apa yang tercanggih dan update setiap versinya,aplikasi saya dalam nyari nafkah jadi jangan pernah tertinggal tentang apa yang tercanggih dan update setiap versinya,aplikasi saya dalam mencari nafkah jadi jangan pernah tertinggal tentang apa yang tercanggih dan update setiap versinya,aplikasi saya dalam mencari nafkah jadi jangan pernah tertinggal tentang apa yang tercanggih dan update setiap versinya,my application is in earning a living so never miss out on what's most advanced and updated with each version,positive
Yahya SPsi,4,okay,2026-03-23 10:02:39,okay,okay,okay,okay,okay,positive
Ahmad Safei,2,Kalo bisa jika ada kenaikan tarif setidaknya informasikan dulu,2026-03-23 09:52:23,kalo bisa jika ada kenaikan tarif setidaknya informasikan dulu,kalo bisa jika ada kenaikan tarif setidaknya informasikan dulu,kalo bisa jika ada kenaikan tarif setidaknya informasikan dulu,bisa jika ada kenaikan tarif setidaknya informasikan dulu,"if there is a rate increase, at least inform us first",negative
Maria Lestari,1,"kecewa banget jujur, sinyal bagus di bilang gaada internet, susah dapat driver dan banyak perbaikan trus",2026-03-23 09:48:28,kecewa banget jujur sinyal bagus bilang gaada internet susah dapat driver dan banyak perbaikan trus,kecewa banget jujur sinyal bagus bilang gaada internet susah dapat driver dan banyak perbaikan trus,kecewa banget jujur sinyal bagus bilang enggak ada internet susah dapat driver dan banyak perbaikan terus,kecewa jujur sinyal bagus bilang enggak ada internet susah dapat driver dan banyak perbaikan terus,"disappointed to be honest, the signal is good, says there is no internet, it's hard to get drivers and there are lots of improvements going on",positive
Bunda Wiwin,5,memuaskan,2026-03-23 09:48:26,memuaskan,memuaskan,memuaskan,memuaskan,satisfying,positive
Aditiya Basar,1,buruk,2026-03-23 09:47:09,buruk,buruk,buruk,buruk,bad,negative
diana lestari,5,topp bangett,2026-03-23 09:46:35,topp bangett,topp bangett,topp banget,topp,topp,neutral
Linda Amoyy,5,bagus cepat dan ramah,2026-03-23 09:44:14,bagus cepat dan ramah,bagus cepat dan ramah,bagus cepat dan ramah,bagus cepat dan ramah,good fast and friendly,positive
Andika Putra Ramadhani,1,"lama banget saya gofood aja gamau ada yang ambil makanan saya,mending saya langsung kee tokonya beli sendiri kesana saya kasih bintang 1 siapa cobaa ga kecewa udah nunggu lama ga ada yang anter cuman bisa andelin batalin pesanan kalo tau gitu ga usah buat aplikasi gojek kalau ga ada yang mau ambil",2026-03-23 09:05:58,lama banget saya gofood aja gamau ada yang ambil makanan saya mending saya langsung kee tokonya beli sendiri kesana saya kasih bintang siapa cobaa ga kecewa udah nunggu lama ga ada yang anter cuman bisa andelin batalin pesanan kalo tau gitu ga usah buat aplikasi gojek kalau ga ada yang mau ambil,lama banget saya gofood aja gamau ada yang ambil makanan saya mending saya langsung kee tokonya beli sendiri kesana saya kasih bintang siapa cobaa ga kecewa udah nunggu lama ga ada yang anter cuman bisa andelin batalin pesanan kalo tau gitu ga usah buat aplikasi gojek kalau ga ada yang mau ambil,lama banget saya gofood saja enggak mau ada yang ambil makanan saya mending saya langsung kee tokonya beli sendiri kesana saya kasih bintang siapa coba tidak kecewa sudah menunggu lama tidak ada yang santer cuman bisa andelin batalion pesanan kalo tau begitu tidak usah buat aplikasi gojek kalau tidak ada yang mau ambil,lama saya gofood saja enggak mau ada yang ambil makanan saya mending saya langsung kee tokonya beli sendiri kesana saya kasih bintang siapa coba tidak kecewa sudah menunggu lama tidak ada yang santer bisa andelin batalion pesanan begitu tidak usah buat aplikasi gojek kalau tidak ada yang mau ambil,"it's been a long time since i went on gofood, i didn't want anyone to take my food, i'd rather go straight to the shop and buy it myself, i'll give it a star, whoever tried it, i'm not disappointed, i've been waiting for a long time, no one can wait so long, you can follow up with orders so there's no need to create a gojek application if no one wants to take it.",positive
maulida ifaa,1,lelet,2026-03-23 09:04:45,lelet,lelet,lelet,lelet,slow,negative
Nardi Saputra,5,sungguh nyaman 😄😏😄👍👍👍 🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵🩵,2026-03-23 09:04:40,sungguh nyaman,sungguh nyaman,sungguh nyaman,sungguh nyaman,really comfortable,positive
Hanif Rasyaad,1,driver kadang sok sibuk semua,2026-03-23 09:02:24,driver kadang sok sibuk semua,driver kadang sok sibuk semua,driver kadang sok sibuk semua,driver kadang sok sibuk semua,drivers sometimes seem too busy,positive
Nina Patimah,5,membantu sekali dan memudahkan segala aktivitas kita,2026-03-23 09:02:20,membantu sekali dan memudahkan segala aktivitas kita,membantu sekali dan memudahkan segala aktivitas kita,membantu sekali dan memudahkan segala aktivitas kita,membantu sekali dan memudahkan segala aktivitas kita,very helpful and makes all our activities easier,positive
Yuyun Miswahyuni,5,Mantap,2026-03-23 09:02:17,mantap,mantap,mantap,mantap,excellent,positive
Jamalulel,5,min selain gofood tambahin goMUA biar Ulya bisa dimakeup di jalan,2026-03-23 09:01:40,min selain gofood tambahin gomua biar ulya bisa dimakeup jalan,min selain gofood tambahin gomua biar ulya bisa dimakeup jalan,min selain gofood tambahkan gomua biar ulya bisa dimakeup jalan,selain gofood tambahkan gomua biar ulya bisa dimakeup jalan,"apart from gofood, add gomua so that ulya can be put on for street makeup",neutral
JaylineDavineLee Jayline,5,ok,2026-03-23 08:53:27,ok,ok,baik,baik,good,positive
Hellen Baay,5,mantap 👍👍,2026-03-23 08:52:24,mantap,mantap,mantap,mantap,excellent,positive
Riky B,5,saham goto naik yuk,2026-03-23 08:50:56,saham goto naik yuk,saham goto naik yuk,saham goto naik yuk,saham goto naik,goto shares rise,neutral
Iwan Setiawan,5,baik n ramah,2026-03-23 08:37:01,baik n ramah,baik n ramah,baik dan ramah,baik dan ramah,kind and friendly,positive
IchaFebrianty -,1,buruk q,2026-03-23 08:34:16,buruk,buruk,buruk,buruk,bad,negative
Nehan Haaziq,1,"hama lama gojek nya pepek hpus aja aplikasi nya, nunggu gojek udah dri 3jam ga dpt2",2026-03-23 08:14:18,hama lama gojek nya pepek hpus aja aplikasi nya nunggu gojek udah dri ga,hama lama gojek nya pepek hpus aja aplikasi nya nunggu gojek udah dri ga,hama lama gojek nya pepek hapus saja aplikasi nya menunggu gojek sudah dari tidak,hama lama gojek pepek hapus saja aplikasi menunggu gojek sudah tidak,the old pest gojek pepek just delete the application waiting for gojek to no longer exist,positive
Alma Olanvia,5,sangat membantu!,2026-03-23 08:02:47,sangat membantu,sangat membantu,sangat membantu,sangat membantu,very helpful,positive
Dewi Lestari,1,"susah dapat driver, nda guna punya banyak driver tapi pada nda mau ambil orderan",2026-03-23 08:02:00,susah dapat driver nda guna punya banyak driver tapi pada nda mau ambil orderan,susah dapat driver nda guna punya banyak driver tapi pada nda mau ambil orderan,susah dapat driver indak guna punya banyak driver tapi pada indak mau ambil orderan,susah dapat driver indak guna punya banyak driver tapi pada indak mau ambil orderan,it's hard to get a driver because you have a lot of drivers but some people want to take orders,negative
airlangga ardyzio,5,Good Job,2026-03-23 07:52:20,good job,good job,good job,good job,good job,positive
Arashi Filez,5,mantabb,2026-03-23 07:51:59,mantabb,mantabb,manta,manta,manta,neutral
Nur abdillah,1,"kenapa akun saya dibekukan, di kasih penjelasan juga engga, ga jelas banget",2026-03-23 07:48:59,kenapa akun saya dibekukan kasih penjelasan juga engga ga jelas banget,kenapa akun saya dibekukan kasih penjelasan juga engga ga jelas banget,kenapa akun saya dibekukan kasih penjelasan juga enggak tidak jelas banget,kenapa akun saya dibekukan kasih penjelasan enggak tidak jelas,why my account was frozen please give me a clear explanation,positive
moko avrianto,4,baik,2026-03-23 07:47:55,baik,baik,baik,baik,good,positive
Argy Nugraha,1,"aplikasi ini, terutama gofood, mungkin dibusukkan oleh pengembang dari dalam. Sering terjadi : Chat dari penjual / driver saat terjadi ketidak sesuaian pesanan, katakanlah menu yg dipesan habis. chat untuk konfirmasi ke pembeli tidak sampai. apakah ini pengembang yg tidak kompeten, atau memang sengaja dibusukkan dari dalam.",2026-03-23 07:42:10,aplikasi ini terutama gofood mungkin dibusukkan oleh pengembang dari dalam sering terjadi chat dari penjual driver saat terjadi ketidak sesuaian pesanan katakanlah menu dipesan habis chat untuk konfirmasi pembeli tidak sampai apakah ini pengembang tidak kompeten atau memang sengaja dibusukkan dari dalam,aplikasi ini terutama gofood mungkin dibusukkan oleh pengembang dari dalam sering terjadi chat dari penjual driver saat terjadi ketidak sesuaian pesanan katakanlah menu dipesan habis chat untuk konfirmasi pembeli tidak sampai apakah ini pengembang tidak kompeten atau memang sengaja dibusukkan dari dalam,aplikasi ini terutama gofood mungkin ditusukkan oleh pengembang dari dalam sering terjadi chat dari penjual driver saat terjadi ketidak sesuaian pesanan katakanlah menu dipesan habis chat untuk konfirmasi pembeli tidak sampai apakah ini pengembang tidak kompeten atau memang sengaja ditusukkan dari dalam,aplikasi ini terutama gofood mungkin ditusukkan oleh pengembang dalam sering terjadi chat penjual driver saat terjadi ketidak sesuaian pesanan katakanlah menu dipesan habis chat untuk konfirmasi pembeli tidak sampai apakah ini pengembang tidak kompeten atau memang sengaja ditusukkan dalam,"this application, especially gofood, may be stabbed by the developer in frequent driver-seller chats when there is a discrepancy in the order, say the menu has been ordered out of order, the chat to confirm the buyer doesn't arrive, is this the developer incompetent or was it deliberately stabbed in",negative
Rayyzim,5,bagus,2026-03-23 07:40:13,bagus,bagus,bagus,bagus,good,positive
Lenna Putri,1,"bantuan tidak berguna, tidak bisa menyelesaikan kendala/masalah",2026-03-23 07:35:30,bantuan tidak berguna tidak bisa kendala masalah,bantuan tidak berguna tidak bisa kendala masalah,bantuan tidak berguna tidak bisa kendala masalah,bantuan tidak berguna tidak bisa kendala masalah,useless help can't hinder the problem,negative
Al Rz keane,1,Aplikasi yang memelihara driver kek monyet semua. terutama driver gocar.,2026-03-23 07:25:51,aplikasi yang memelihara driver kek monyet semua terutama driver gocar,aplikasi yang memelihara driver kek monyet semua terutama driver gocar,aplikasi yang memelihara driver kayak monyet semua terutama driver gocar,aplikasi yang memelihara driver kayak semua terutama driver gocar,"application that supports drivers like everyone, especially gocar drivers",neutral
MOCHAMAD ADI BUDI CAHYANTO,4,"ini kenapa jadi susah login? tulisannya yah, internet mati. buka grab aja bisa masa ini gabisa",2026-03-23 07:23:24,ini kenapa jadi susah login tulisannya yah internet mati buka grab aja bisa masa ini gabisa,ini kenapa jadi susah login tulisannya yah internet mati buka grab aja bisa masa ini gabisa,ini kenapa jadi susah login tulisannya ya internet mati buka grab saja bisa masa ini enggak bisa,ini kenapa jadi susah login tulisannya internet mati buka grab saja bisa masa ini enggak bisa,"this is why it's so hard to log in, it says the internet is dead, just open grab, but now you can't",negative
Aztie Audy,2,"Makin ke sini, nyari dan dapet driver jadi lama banget. Proses cancel juga harus nunggu lama dan ribet. Saran aja, kalau bisa potongan dari aplikasi ke driver jangan terlalu banyak, biar driver nggak milih-milih dan sering nge-cancel pesanan, jadi pembeli/customer juga nggak dirugikan.",2026-03-23 07:22:04,makin sini nyari dan dapet driver jadi lama banget proses cancel juga harus nunggu lama dan ribet saran aja kalau bisa potongan dari aplikasi driver jangan terlalu banyak biar driver milih milih dan sering nge cancel pesanan jadi pembeli customer juga dirugikan,makin sini nyari dan dapet driver jadi lama banget proses cancel juga harus nunggu lama dan ribet saran aja kalau bisa potongan dari aplikasi driver jangan terlalu banyak biar driver milih milih dan sering nge cancel pesanan jadi pembeli customer juga dirugikan,makin sini mencari dan dapat driver jadi lama banget proses cancel juga harus menunggu lama dan ribet saran saja kalau bisa potongan dari aplikasi driver jangan terlalu banyak biar driver memilih memilih dan sering nge cancel pesanan jadi pembeli customer juga dirugikan,makin sini mencari dan dapat driver jadi lama proses cancel harus menunggu lama dan ribet saran saja kalau bisa potongan aplikasi driver jangan terlalu banyak biar driver memilih memilih dan sering nge cancel pesanan jadi pembeli customer dirugikan,"increasingly, looking for and getting a driver makes the cancelation process take a long time and it's complicated. just a suggestion, if possible, don't cut too many driver applications so that the driver chooses to choose and often cancels the order, so the customer's buyer suffers a loss.",negative
Dago Pakar indah,2,"gojek makin kesini makin aneh, order malah dpet driver yg jauh jauh. padahal sekitaran bejibun.",2026-03-23 07:19:37,gojek makin kesini makin aneh order malah dpet driver jauh jauh padahal sekitaran bejibun,gojek makin kesini makin aneh order malah dpet driver jauh jauh padahal sekitaran bejibun,gojek makin kesini makin aneh order malah dpet driver jauh jauh padahal sekitaran bejibun,gojek makin kesini makin aneh malah dpet driver jauh jauh sekitaran bejibun,"the more and more gojek comes here, the more strange it gets, even the drivers are getting around a lot of miles",positive
cinta mufida,1,"tlg pihak gojek ini driver ngeluh krna terlalu bnyk ptongan dr apk & driver ga balik modal, apk ini trlalu bnyk ambil untung dr driver, customer ke aplikator tarif tinggi bgt tp dr aplikator ke driver/rider tarif rendah bgt, driver fulltime dicekik alogoritma, driver libur 1hr krna skit akun lgsg anyep & orderan ilang, skrg apk ngadain prioritas driver byr 1hr 20rb biar bsa dpt orderan max 10, mnding driver pindah maxim aja, maxim ptongan dkit, sy brni blg krna nyata sy susah dpt driver",2026-03-23 07:15:20,pihak gojek ini driver ngeluh krna terlalu ptongan apk driver ga balik modal apk ini trlalu ambil untung driver customer aplikator tarif tinggi aplikator driver rider tarif rendah driver fulltime dicekik alogoritma driver libur krna skit akun anyep orderan ilang apk ngadain prioritas driver biar bsa orderan max driver pindah maxim aja maxim ptongan dkit brni krna nyata susah driver,pihak gojek ini driver ngeluh krna terlalu ptongan apk driver ga balik modal apk ini trlalu ambil untung driver customer aplikator tarif tinggi aplikator driver rider tarif rendah driver fulltime dicekik alogoritma driver libur krna skit akun anyep orderan ilang apk ngadain prioritas driver biar bsa orderan max driver pindah maxim aja maxim ptongan dkit brni krna nyata susah driver,pihak gojek ini driver geluh karena terlalu potongan aplikasi driver tidak balik modal aplikasi ini terlalu ambil untung driver customer aplikator tarif tinggi aplikator driver rider tarif rendah driver fulltime dicekik algoritma driver libur karena sakit akun anyep orderan hilang aplikasi mengadakan prioritas driver biar bisa orderan max driver pindah maxima saja maxima potongan dkit brni karena nyata susah driver,pihak gojek ini driver geluh karena terlalu potongan aplikasi driver tidak balik modal aplikasi ini terlalu ambil untung driver customer aplikator tarif tinggi aplikator driver rider tarif rendah driver fulltime dicekik algoritma driver libur karena sakit akun anyep orderan hilang aplikasi mengadakan prioritas driver biar bisa orderan max driver pindah maxima saja maxima potongan dkit brni karena nyata susah driver,"the gojek drivers are complaining because the driver application doesn't get a return on capital. this application takes too much profit. the driver, customer, high rate applicator, low rate driver rider applicator, full time driver is being strangled by the algorithm, the driver takes time off due to illness, any order account is lost, the application prioritizes drivers so they can order max. drivers just move maxima. maximum discounts are small because it's really difficult for drivers.",negative
Aris Setyowati,2,driver yang suka terlambat dan pelayanan yang kurang,2026-03-23 07:09:33,driver yang suka terlambat dan pelayanan yang kurang,driver yang suka terlambat dan pelayanan yang kurang,driver yang suka terlambat dan pelayanan yang kurang,driver yang suka terlambat dan pelayanan yang kurang,drivers who are late and lack service,negative
Naifah Ipe,2,lama cari driver nya.,2026-03-23 07:09:02,lama cari driver nya,lama cari driver nya,lama cari driver nya,lama cari driver,took a long time looking for a driver,negative
Kato Marboen,5,oke mantap,2026-03-23 07:06:16,oke mantap,oke mantap,oke mantap,mantap,excellent,positive
Citra Yasmin,5,mantap,2026-03-23 07:04:56,mantap,mantap,mantap,mantap,excellent,positive
Kaila Aprilyani,1,TIDAK JUJUR,2026-03-23 07:04:08,tidak jujur,tidak jujur,tidak jujur,tidak jujur,dishonest,negative
Ikhsan Ikhsan,1,server jelek minimal upgrade lah ngeleg banget servernya pdhl kuota full sinyal ada.pdhl brand gede mslh kecil ga mau diatasin,2026-03-23 06:58:44,server jelek minimal upgrade lah ngeleg banget servernya kuota full sinyal ada gede kecil ga mau diatasin,server jelek minimal upgrade lah ngeleg banget servernya kuota full sinyal ada gede kecil ga mau diatasin,server jelek minimal upgrade lah ngeleg banget servernya kuota full sinyal ada gede kecil tidak mau diatasi,server jelek minimal upgrade lah ngeleg servernya kuota full sinyal ada gede kecil tidak mau diatasi,"the server is bad, at least upgrading is slowing down the server's full signal quota, there's a small amount that doesn't want to be resolved",negative
Muhammad Farhan Ramadhan,2,"kenapa gak bisa ganti pembayaran nya dari tunai ke gopay error gilaaaa banget sumpah , perbaiki lahhh gimana sih",2026-03-23 06:52:05,kenapa gak bisa ganti pembayaran nya dari tunai gopay error banget sumpah perbaiki gimana sih,kenapa gak bisa ganti pembayaran nya dari tunai gopay error banget sumpah perbaiki gimana sih,kenapa enggak bisa ganti pembayaran nya dari tunai gopay error banget sumpah perbaiki bagaimana sih,kenapa enggak bisa ganti pembayaran tunai error sumpah perbaiki bagaimana,"why can't i replace the cash payment, how can i fix the error?",neutral
cartono,5,ok,2026-03-23 06:43:18,ok,ok,baik,baik,good,positive
Microshield Demos,1,tidak ada respon dari aplikasi dari jam penentuan dapat voucher kalau driver belum sampai .aplikasi terdiam lebih dari waktu .makin menurun kualitasnya,2026-03-23 06:42:53,tidak ada respon dari aplikasi dari jam penentuan dapat voucher kalau driver belum sampai aplikasi terdiam lebih dari waktu makin menurun kualitasnya,tidak ada respon dari aplikasi dari jam penentuan dapat voucher kalau driver belum sampai aplikasi terdiam lebih dari waktu makin menurun kualitasnya,tidak ada respons dari aplikasi dari jam penentuan dapat voucer kalau driver belum sampai aplikasi terdiam lebih dari waktu makin menurun kualitasnya,tidak ada respons aplikasi jam penentuan dapat voucer kalau driver belum sampai aplikasi terdiam lebih waktu makin menurun kualitasnya,"there is no response to the application for determining the time to get a voucher if the driver has not arrived. the application is silent for more time, the quality decreases",positive
Sigma Cat,1,Aplikasi gajelas malah gakbisa daftar,2026-03-23 06:28:06,aplikasi gajelas malah gakbisa daftar,aplikasi gajelas malah gakbisa daftar,aplikasi enggak jelas malah gakbisa daftar,aplikasi enggak jelas malah gakbisa daftar,the application is not clear and can't even register,negative
GilbertK,1,"Karna gaada driver terpaksa harus nunggu 40 menit baru bisa cancel, keburu aslam",2026-03-23 06:24:17,karna gaada driver terpaksa harus nunggu menit baru bisa cancel keburu aslam,karna gaada driver terpaksa harus nunggu menit baru bisa cancel keburu aslam,karena enggak ada driver terpaksa harus menunggu menit baru bisa cancel keburu aslam,karena enggak ada driver terpaksa harus menunggu menit baru bisa cancel keburu aslam,,neutral
Yohanes Justine Cristov,1,gojek nya gak aman banyak mafia semua masa beli makan di gojek sampe sekarang belum di anterin,2026-03-23 06:20:36,gojek nya gak aman banyak mafia semua masa beli makan gojek sampe sekarang belum anterin,gojek nya gak aman banyak mafia semua masa beli makan gojek sampe sekarang belum anterin,gojek nya enggak aman banyak mafia semua masa beli makan gojek sampai sekarang belum antaran,gojek enggak aman banyak mafia semua masa beli makan gojek sampai sekarang belum antaran,,neutral
Dani Misrani,3,"sekarang makin kesini gojek susah bgt dapat driver padahal gak hujan cuacanya pun biasa, cuma sekedar macet di jalan aja pada gabisa narik orderan penumpang, harus bgt upgrade ke pilihan mahal baru dapat driver. gak rekomendasi padahal aku seneng bgt pake gojek kemana mana.",2026-03-23 06:19:19,sekarang makin kesini gojek susah dapat driver padahal gak hujan cuacanya pun biasa cuma sekedar macet jalan aja pada gabisa narik orderan penumpang harus upgrade pilihan mahal baru dapat driver gak rekomendasi padahal aku seneng pake gojek kemana mana,sekarang makin kesini gojek susah dapat driver padahal gak hujan cuacanya pun biasa cuma sekedar macet jalan aja pada gabisa narik orderan penumpang harus upgrade pilihan mahal baru dapat driver gak rekomendasi padahal aku seneng pake gojek kemana mana,sekarang makin kesini gojek susah dapat driver padahal enggak hujan cuacanya pun biasa cuma sekedar macet jalan saja pada enggak bisa menarik orderan penumpang harus upgrade pilihan mahal baru dapat driver enggak rekomendasi padahal aku senang pakai gojek kemana mana,sekarang makin kesini gojek susah dapat driver enggak hujan cuacanya pun biasa cuma sekedar macet jalan saja pada enggak bisa menarik orderan penumpang harus upgrade pilihan mahal baru dapat driver enggak aku senang pakai gojek kemana mana,"nowadays, gojek is increasingly difficult to get drivers, it's not raining, the weather is normal, the roads are just jammed, you can't get passenger orders, you have to upgrade to expensive options before you can get a driver, no, i'm happy to use gojek everywhere.",negative
Tryanda Aditya,1,gojek ini kenapa dah aku baru download ini gojek dan belum punya akun terus aku isi akun di gojek di saat-saat mengisi email eh aku tekan selanjutnya terus apa kata ni gojek tunggu 30 jam lagi kenapa sih harus tunggu 30 ini kenapa nih gw kasih bintang satu😤😠,2026-03-23 06:18:34,gojek ini kenapa dah aku baru download ini gojek dan belum punya akun terus aku isi akun gojek saat saat mengisi email aku tekan selanjutnya terus apa kata gojek tunggu jam lagi kenapa sih harus tunggu ini kenapa nih kasih bintang satu,gojek ini kenapa dah aku baru download ini gojek dan belum punya akun terus aku isi akun gojek saat saat mengisi email aku tekan selanjutnya terus apa kata gojek tunggu jam lagi kenapa sih harus tunggu ini kenapa nih kasih bintang satu,gojek ini kenapa deh aku baru download ini gojek dan belum punya akun terus aku isi akun gojek saat saat mengisi email aku tekan selanjutnya terus apa kata gojek tunggu jam lagi kenapa sih harus tunggu ini kenapa nih kasih bintang satu,gojek ini kenapa aku baru download ini gojek dan belum punya akun terus aku isi akun gojek saat saat mengisi email aku tekan selanjutnya terus apa kata gojek tunggu jam lagi kenapa harus tunggu ini kenapa kasih bintang satu,"gojek, why did i just download gojek and don't have an account, then i filled in my gojek account when i filled in the email, i pressed next, then what did gojek say, wait another hour, why do i have to wait, why am i giving one star?",positive
Nining Trisnoningsih,5,drivernya ramah dan tepat waktu,2026-03-23 06:14:24,drivernya ramah dan tepat waktu,drivernya ramah dan tepat waktu,drivernya ramah dan tepat waktu,drivernya ramah dan tepat waktu,the driver is friendly and on time,positive
cahaya putra narotama,5,Ok,2026-03-23 06:11:17,ok,ok,baik,baik,good,positive
Stok ml andi,1,tolong lah gojek ini sekarang sering banget order makanan ke cancel Mulu orang laper yang ada mati duluan,2026-03-23 06:07:21,tolong lah gojek ini sekarang sering banget order makanan cancel mulu orang laper yang ada mati duluan,tolong lah gojek ini sekarang sering banget order makanan cancel mulu orang laper yang ada mati duluan,tolong lah gojek ini sekarang sering banget order makanan cancel mulu orang laper yang ada mati duluan,lah gojek ini sekarang sering makanan cancel orang laper yang ada mati duluan,"gojek now often cancels food, hungry people die first",positive
