userName,score,content,at,clean_content,sentiment,cleaning,case_folding,normalization,stopword_removal
Fransiska Utami,5,mantap,2026-03-23 00:01:11,mantap,positif,mantap,mantap,mantap,mantap
Leni Marliyani,5,sangat baik,2026-03-22 23:46:56,sangat baik,positif,sangat baik,sangat baik,sangat baik,sangat baik
Muhammad Yusuf,5,mantap,2026-03-22 23:45:26,mantap,positif,mantap,mantap,mantap,mantap
Amir Arafa Nanda,5,enak bisa mesen makanan apa aja,2026-03-22 23:43:38,enak bisa mesen makanan apa aja,positif,enak bisa mesen makanan apa aja,enak bisa mesen makanan apa aja,enak bisa mesen makanan apa saja,enak bisa mesen makanan apa saja
Ahmad Suhendri,1,Makin kesini makin parah di maps banyak driver tapi terus mencari driver kalo untuk layanan keuangan sih oke kalau transportasi terutama goride nol besar,2026-03-22 23:35:57,makin kesini makin parah di maps banyak driver tapi terus mencari driver kalo untuk layanan keuangan sih oke kalau transportasi terutama goride nol besar,negatif,makin kesini makin parah maps banyak driver tapi terus mencari driver kalo untuk layanan keuangan sih oke kalau transportasi terutama goride nol besar,makin kesini makin parah maps banyak driver tapi terus mencari driver kalo untuk layanan keuangan sih oke kalau transportasi terutama goride nol besar,makin kesini makin parah maps banyak driver tapi terus mencari driver kalo untuk layanan keuangan sih oke kalau transportasi terutama goride nol besar,makin kesini makin parah maps banyak driver tapi terus mencari driver untuk layanan keuangan kalau transportasi terutama goride nol besar
Riksman Brick,5,the best,2026-03-22 23:35:51,the best,positif,the best,the best,the best,the best
Waridin Carim,5,top,2026-03-22 23:25:52,top,positif,top,top,bagus,bagus
Kanghus Leather,2,"order gojek car akhir2 menjengkelkan sudah nunggu lebih dari 30 menit driver gak gerak, tapi ketika GPS sudah sampai tapi mobil yang terdaftar tidak ada dilokasi, padahal jalanan sepi hanya ada mobil lain. ku rasa para driver ini memanfaatkan layanan denda 3000 rupiah kalau pemesan membatalkan pesanan karena capek nunggu. aku sudah ke 4 kalinya nunggu driver model gini total 3 jam lebih. di chat tidak respon, di telfon g diangkat, GPS di titik jemput tapi gak jemput penumpang lebih dari 30menit.",2026-03-22 23:21:10,order gojek car akhir menjengkelkan sudah nunggu lebih dari menit driver gak gerak tapi ketika gps sudah sampai tapi mobil yang terdaftar tidak ada dilokasi padahal jalanan sepi hanya ada mobil lain ku rasa para driver ini memanfaatkan layanan denda rupiah kalau pemesan membatalkan pesanan karena capek nunggu aku sudah ke kalinya nunggu driver model gini total jam lebih di chat tidak respon di telfon g diangkat gps di titik jemput tapi gak jemput penumpang lebih dari menit,negatif,order gojek car sudah nunggu lebih dari menit driver gak gerak tapi ketika sudah sampai tapi mobil yang terdaftar tidak ada dilokasi padahal jalanan sepi hanya ada mobil lain rasa para driver ini memanfaatkan layanan denda rupiah kalau pemesan membatalkan pesanan karena capek nunggu aku sudah kalinya nunggu driver model gini total jam lebih chat tidak respon telfon diangkat titik jemput tapi gak jemput penumpang lebih dari,order gojek car sudah nunggu lebih dari menit driver gak gerak tapi ketika sudah sampai tapi mobil yang terdaftar tidak ada dilokasi padahal jalanan sepi hanya ada mobil lain rasa para driver ini memanfaatkan layanan denda rupiah kalau pemesan membatalkan pesanan karena capek nunggu aku sudah kalinya nunggu driver model gini total jam lebih chat tidak respon telfon diangkat titik jemput tapi gak jemput penumpang lebih dari,order gojek car sudah menunggu lebih dari menit driver enggak gerak tapi ketika sudah sampai tapi mobil yang terdaftar tidak ada dislokasi padahal jalanan sepi hanya ada mobil lain rasa para driver ini memanfaatkan layanan denda rupiah kalau pemesan membatalkan pesanan karena capek menunggu aku sudah kalinya menunggu driver model begini total jam lebih chat tidak respons telefon diangkat titik jemput tapi enggak jemput penumpang lebih dari,gojek car sudah menunggu lebih menit driver enggak gerak tapi ketika sudah sampai tapi mobil yang terdaftar tidak ada dislokasi jalanan sepi hanya ada mobil lain rasa para driver ini memanfaatkan layanan denda rupiah kalau pemesan membatalkan pesanan karena capek menunggu aku sudah kalinya menunggu driver model begini total jam lebih chat tidak respons telefon diangkat titik jemput tapi enggak jemput penumpang lebih
Azis Imam Al latif,4,"tarifnya tidak sesuai dengan yang di klik dr awal ,selisihnya 20rb jd lebih mahal...",2026-03-22 23:11:36,tarifnya tidak sesuai dengan yang di klik dr awal selisihnya rb jd lebih mahal,positif,tarifnya tidak sesuai dengan yang klik awal selisihnya lebih mahal,tarifnya tidak sesuai dengan yang klik awal selisihnya lebih mahal,tarinya tidak sesuai dengan yang klik awal selisihnya lebih mahal,tarinya tidak sesuai dengan yang klik awal selisihnya lebih mahal
Marisa Wahyuni,4,"akhir2 ini agak susah dapet driver, sekali nya dapet kadang jarak ny jauh,",2026-03-22 22:46:09,akhir ini agak susah dapet driver sekali nya dapet kadang jarak ny jauh,positif,ini agak susah dapet driver sekali nya dapet kadang jarak jauh,ini agak susah dapet driver sekali nya dapet kadang jarak jauh,ini agak susah dapat driver sekali nya dapat kadang jarak jauh,ini agak susah dapat driver sekali dapat kadang jarak jauh
mukti alam,5,terbaik,2026-03-22 22:36:07,terbaik,positif,terbaik,terbaik,terbaik,terbaik
Novi Setyawan,1,Dapat koin dari main gocats tapi pas dilihat disaldo koin gk nambah. Banyak koin yg gk bisa diklaim. Banyak bohongnya,2026-03-22 22:13:41,dapat koin dari main gocats tapi pas dilihat disaldo koin gk nambah banyak koin yg gk bisa diklaim banyak bohongnya,negatif,dapat koin dari main gocats tapi pas dilihat disaldo koin gk nambah banyak koin gk bisa diklaim banyak bohongnya,dapat koin dari main gocats tapi pas dilihat disaldo koin gk nambah banyak koin gk bisa diklaim banyak bohongnya,dapat koin dari main gocats tapi pas dilihat disaldo koin tidak menambah banyak koin tidak bisa diklaim banyak bohongnya,dapat koin main gocats tapi pas dilihat disaldo koin tidak menambah banyak koin tidak bisa diklaim banyak bohongnya
Irfan Suryana,1,"Driver gocar di Rangkasbitung kalian pada mainan harga,nembak harga,atau manualin harga diluar aplikasi",2026-03-22 22:00:48,driver gocar di rangkasbitung kalian pada mainan harganembak hargaatau manualin harga diluar aplikasi,negatif,driver gocar kalian pada mainan harga nembak harga atau manualin harga diluar aplikasi,driver gocar kalian pada mainan harga nembak harga atau manualin harga diluar aplikasi,driver gocar kalian pada mainan harga menembak harga atau manualin harga diluar aplikasi,driver gocar kalian pada mainan harga menembak harga atau manualin harga diluar aplikasi
Yudha Pratama,1,tolong dong resto kalo masak jangan kelamaan trus juga nyari driver lama banget masa mesen makanan harus nunggu 1 jam lebih makanan jadi ga fresh ga enak,2026-03-22 20:52:31,tolong dong resto kalo masak jangan kelamaan trus juga nyari driver lama banget masa mesen makanan harus nunggu jam lebih makanan jadi ga fresh ga enak,negatif,tolong dong resto kalo masak jangan kelamaan trus juga nyari driver lama banget masa mesen makanan harus nunggu jam lebih makanan jadi ga ga enak,tolong dong resto kalo masak jangan kelamaan trus juga nyari driver lama banget masa mesen makanan harus nunggu jam lebih makanan jadi ga ga enak,tolong dong resto kalo masak jangan kelamaan terus juga mencari driver lama banget masa mesen makanan harus menunggu jam lebih makanan jadi tidak tidak enak,dong resto masak jangan kelamaan terus mencari driver lama masa mesen makanan harus menunggu jam lebih makanan jadi tidak tidak enak
Lufi Ramadhani,5,"aplikasi udah oke, klo bisa tambahin fitur pembayaran Qris",2026-03-22 20:31:11,aplikasi udah oke klo bisa tambahin fitur pembayaran qris,positif,aplikasi udah oke klo bisa tambahin fitur pembayaran qris,aplikasi udah oke klo bisa tambahin fitur pembayaran qris,aplikasi sudah oke kalo bisa tambahkan fitur pembayaran qris,aplikasi sudah bisa tambahkan fitur pembayaran qris
susanto naiz,4,semoga pelayanannya lebih joss lagi,2026-03-22 20:30:55,semoga pelayanannya lebih joss lagi,positif,semoga pelayanannya lebih joss lagi,semoga pelayanannya lebih joss lagi,semoga pelayanannya lebih joss lagi,semoga pelayanannya lebih joss lagi
Dennycandra Pratama,5,bagus,2026-03-22 20:28:58,bagus,positif,bagus,bagus,bagus,bagus
yandie sihend (Lank),1,"TOLONG DI PERBAIKI TERKAIT LAYANAN PRIORITAS, SAYA JAM 2 PAGI BAWA BAYI PESEN GOJEK, DAPET, TAPI,NGGA GERAK SAMA SEKALI KUSUT BANGET",2026-03-22 20:21:29,tolong di perbaiki terkait layanan prioritas saya jam pagi bawa bayi pesen gojek dapet tapingga gerak sama sekali kusut banget,negatif,tolong perbaiki terkait layanan prioritas saya jam pagi bawa bayi pesen gojek dapet tapi ngga gerak sama sekali kusut banget,tolong perbaiki terkait layanan prioritas saya jam pagi bawa bayi pesen gojek dapet tapi ngga gerak sama sekali kusut banget,tolong perbaiki terkait layanan prioritas saya jam pagi bawa bayi pesan gojek dapat tapi enggak gerak sama sekali kusut banget,perbaiki terkait layanan prioritas saya jam pagi bawa bayi pesan gojek dapat tapi enggak gerak sama sekali kusut
Wong Pemuda og,1,susah cari gocar dan goride sekalinya cancel harga makin naik ga ngotak,2026-03-22 20:07:45,susah cari gocar dan goride sekalinya cancel harga makin naik ga ngotak,negatif,susah cari gocar dan goride sekalinya cancel harga makin naik ga ngotak,susah cari gocar dan goride sekalinya cancel harga makin naik ga ngotak,susah cari gocar dan goride sekalinya cancel harga makin naik tidak ngotak,susah cari gocar dan goride sekalinya cancel harga makin naik tidak ngotak
Waluyohadhy S. Hardjono,5,trims fast respon,2026-03-22 20:06:26,trims fast respon,positif,fast respon,fast respon,fast respons,fast respons
Julia Novialaswati,1,pelayanannya lamban,2026-03-22 19:53:07,pelayanannya lamban,negatif,pelayanannya lamban,pelayanannya lamban,pelayanannya lamban,pelayanannya lamban
Dendi Kurniawan,1,gua bayar ongkir gede ko di hematin,2026-03-22 19:40:20,gua bayar ongkir gede ko di hematin,negatif,gua bayar ongkir gede hematin,gua bayar ongkir gede hematin,gua bayar ongkir gede hematin,bayar ongkir gede hematin
Budi Utomo,4,lumayan,2026-03-22 19:27:19,lumayan,positif,lumayan,lumayan,lumayan,lumayan
Caa Tzy`,5,"asik bangett bisa njajan tanpa keluar rumahh, tpi ongkir nya agak mahall padahal resto nya lumayan deket sama kost kuu",2026-03-22 18:49:25,asik bangett bisa njajan tanpa keluar rumahh tpi ongkir nya agak mahall padahal resto nya lumayan deket sama kost kuu,positif,asik bangett bisa njajan tanpa keluar rumahh tpi ongkir nya agak mahall padahal resto nya lumayan deket sama kost kuu,asik bangett bisa njajan tanpa keluar rumahh tpi ongkir nya agak mahall padahal resto nya lumayan deket sama kost kuu,asik banget bisa jajan tanpa keluar rumah tapi ongkir nya agak mahal padahal resto nya lumayan dekat sama kost ku,asik bisa tanpa keluar rumah tapi ongkir agak mahal resto lumayan dekat sama kost ku
Pw Hk,1,"pesen gofood orang bisa disuruh nunggu dapet driver sampe 60 menit lebih baru bisa dibatalin, woi orang mah kaya si orange 12 atau 20 menit gak dapet driver bisa batalin pemesan nya, bikin aturan se enak jidat, auto ganti ke aplikasi orange besok2",2026-03-22 18:47:33,pesen gofood orang bisa disuruh nunggu dapet driver sampe menit lebih baru bisa dibatalin woi orang mah kaya si orange atau menit gak dapet driver bisa batalin pemesan nya bikin aturan se enak jidat auto ganti ke aplikasi orange besok,negatif,pesen gofood orang bisa disuruh nunggu dapet driver sampe menit lebih baru bisa dibatalin woi orang mah kaya orange atau menit gak dapet driver bisa batalin pemesan nya bikin aturan enak jidat auto ganti aplikasi orange,pesen gofood orang bisa disuruh nunggu dapet driver sampe menit lebih baru bisa dibatalin woi orang mah kaya orange atau menit gak dapet driver bisa batalin pemesan nya bikin aturan enak jidat auto ganti aplikasi orange,pesan gofood orang bisa disuruh menunggu dapat driver sampai menit lebih baru bisa dibatalin woi orang mah kayak orang atau menit enggak dapat driver bisa batalion pemesan nya bikin aturan enak jidat auto ganti aplikasi orang,pesan gofood orang bisa disuruh menunggu dapat driver sampai menit lebih baru bisa dibatalin woi orang mah kayak orang atau menit enggak dapat driver bisa batalion pemesan aturan enak jidat auto ganti aplikasi orang
Jrey Ahmad,1,"tolong dong saya mau coba login pake nomor HP saya tapi tidak bisa, saya lupa pin sama email nya jadi bingung mau loginnya gimana mana masih ada saldonya. tolong dong cs nya bantuin saya",2026-03-22 17:57:50,tolong dong saya mau coba login pake nomor hp saya tapi tidak bisa saya lupa pin sama email nya jadi bingung mau loginnya gimana mana masih ada saldonya tolong dong cs nya bantuin saya,negatif,tolong dong saya mau coba login pake nomor hp saya tapi tidak bisa saya lupa pin sama email nya jadi bingung mau loginnya gimana mana masih ada saldonya tolong dong nya bantuin saya,tolong dong saya mau coba login pake nomor hp saya tapi tidak bisa saya lupa pin sama email nya jadi bingung mau loginnya gimana mana masih ada saldonya tolong dong nya bantuin saya,tolong dong saya mau coba login pakai nomor handphone saya tapi tidak bisa saya lupa pin sama email nya jadi bingung mau loginnya bagaimana mana masih ada saldonya tolong dong nya bantun saya,dong saya mau coba login pakai nomor handphone saya tapi tidak bisa saya lupa pin sama email jadi bingung mau loginnya bagaimana mana masih ada saldonya dong bantun saya
Hertina Tambunan,5,Pokoke semua²nya is the bestlah👍👍👍,2026-03-22 17:53:16,pokoke semuanya is the bestlah,positif,pokoke semua nya the bestlah,pokoke semua nya the bestlah,pokok semua nya the beslah,pokok semua the beslah
ANDI INDRA NURDJEIN,1,"udah pesan 5x berturut-turut dari jam 7 malam sampai jam 1 pagi tidak ada driver yang mau ambil, parahh jujur kecewa sih padahal aku selalu pakai gopay tiap transaksi",2026-03-22 17:52:47,udah pesan x berturutturut dari jam malam sampai jam pagi tidak ada driver yang mau ambil parahh jujur kecewa sih padahal aku selalu pakai gopay tiap transaksi,negatif,udah pesan berturut turut dari jam malam sampai jam pagi tidak ada driver yang mau ambil parahh jujur kecewa sih padahal aku selalu pakai gopay tiap transaksi,udah pesan berturut turut dari jam malam sampai jam pagi tidak ada driver yang mau ambil parahh jujur kecewa sih padahal aku selalu pakai gopay tiap transaksi,sudah pesan berturut turut dari jam malam sampai jam pagi tidak ada driver yang mau ambil parah jujur kecewa sih padahal aku selalu pakai gopay tiap transaksi,sudah pesan berturut turut jam malam sampai jam pagi tidak ada driver yang mau ambil parah jujur kecewa aku selalu pakai tiap transaksi
Detje Pattiasina,5,gonjek mantap. semoga gacor,2026-03-22 17:45:50,gonjek mantap semoga gacor,positif,gonjek mantap semoga gacor,gonjek mantap semoga gacor,gojek mantap semoga gacor,gojek mantap semoga gacor
dan¡err,1,driver nya lama,2026-03-22 17:42:23,driver nya lama,negatif,driver nya lama,driver nya lama,driver nya lama,driver lama
Orion,1,chat pusat bantuan ngg di tanggapi 👎,2026-03-22 17:13:27,chat pusat bantuan ngg di tanggapi,negatif,chat pusat bantuan tanggapi,chat pusat bantuan tanggapi,chat pusat bantuan tanggap,chat pusat bantuan tanggap
Melody,1,"kecewa bgt, penjemputan drivernya jauh jauh bisa 2km - 5km dari titik jemput jdi bnyk driver yg ngebatalin termasuk saya customer sendiri pun sya batalin karna menunggu terlalu lama terlalu jauh blum lgi macet di jln, akibatnya merugikan ke2 belah pihak driver rugi saya sebagai customer pun rugi. saya pakai gojek dri dlu karna dulu praktis cepat tpi skrang sya kecewa butuh waktu lma buat dijemput driver 30-40menit, maksudnya apa bikin peraturan titik jemput jauh begini?bkin orang terlambat trus?",2026-03-22 17:05:45,kecewa bgt penjemputan drivernya jauh jauh bisa km km dari titik jemput jdi bnyk driver yg ngebatalin termasuk saya customer sendiri pun sya batalin karna menunggu terlalu lama terlalu jauh blum lgi macet di jln akibatnya merugikan ke belah pihak driver rugi saya sebagai customer pun rugi saya pakai gojek dri dlu karna dulu praktis cepat tpi skrang sya kecewa butuh waktu lma buat dijemput driver menit maksudnya apa bikin peraturan titik jemput jauh beginibkin orang terlambat trus,negatif,kecewa penjemputan drivernya jauh jauh bisa dari titik jemput jdi driver ngebatalin termasuk saya customer sendiri pun sya batalin karna menunggu terlalu lama terlalu jauh blum lgi macet akibatnya merugikan belah pihak driver rugi saya sebagai customer pun rugi saya pakai gojek dri dlu karna dulu praktis cepat tpi sya kecewa butuh waktu lma buat dijemput driver maksudnya apa bikin peraturan titik jemput jauh begini bkin orang terlambat trus,kecewa penjemputan drivernya jauh jauh bisa dari titik jemput jdi driver ngebatalin termasuk saya customer sendiri pun sya batalin karna menunggu terlalu lama terlalu jauh blum lgi macet akibatnya merugikan belah pihak driver rugi saya sebagai customer pun rugi saya pakai gojek dri dlu karna dulu praktis cepat tpi sya kecewa butuh waktu lma buat dijemput driver maksudnya apa bikin peraturan titik jemput jauh begini bkin orang terlambat trus,kecewa penjemputan drivernya jauh jauh bisa dari titik jemput jadi driver ngebatalin termasuk saya customer sendiri pun saya batalion karena menunggu terlalu lama terlalu jauh belum lagi macet akibatnya merugikan belah pihak driver rugi saya sebagai customer pun rugi saya pakai gojek dari dulu karena dulu praktis cepat tapi saya kecewa butuh waktu lama buat dijemput driver maksudnya apa bikin peraturan titik jemput jauh begini bikin orang terlambat terus,kecewa penjemputan drivernya jauh jauh bisa titik jemput jadi driver ngebatalin termasuk saya customer sendiri pun saya batalion karena menunggu terlalu lama terlalu jauh belum lagi macet akibatnya merugikan belah pihak driver rugi saya sebagai customer pun rugi saya pakai gojek dulu karena dulu praktis cepat tapi saya kecewa butuh waktu lama buat dijemput driver maksudnya apa peraturan titik jemput jauh begini orang terlambat terus
Yasir M-Y,1,woi kocak ini driver ga dapat muku lama banget trus di cancel otomatis gua laper kocak malah di suruh oesen dari awal jahat banget ga tau orang laper,2026-03-22 17:05:44,woi kocak ini driver ga dapat muku lama banget trus di cancel otomatis gua laper kocak malah di suruh oesen dari awal jahat banget ga tau orang laper,negatif,woi kocak ini driver ga dapat muku lama banget trus cancel otomatis gua laper kocak malah suruh oesen dari awal jahat banget ga tau orang laper,woi kocak ini driver ga dapat muku lama banget trus cancel otomatis gua laper kocak malah suruh oesen dari awal jahat banget ga tau orang laper,woi kocak ini driver tidak dapat muku lama banget terus cancel otomatis gua laper kocak malah suruh oesen dari awal jahat banget tidak tau orang laper,woi kocak ini driver tidak dapat muku lama terus cancel otomatis laper kocak malah suruh oesen awal jahat tidak orang laper
Alfian,5,seru banget,2026-03-22 16:58:47,seru banget,positif,seru banget,seru banget,seru banget,seru
khar dany,1,"baru download and ga banget ini aplikasi, ngaret nya tu ngaret bgt ga kaya sebelah, cepett bgt. gua baru nyoba and kecewa bener"" ga habis fikir sama ni aplikasi terus lain kali Adain yg namanya ""FITUR PEMBATALANN YAAA ATAAAAUUU FITUR PENGGANTIAN MENU LAIN KALII"" KESEL BGT GUA",2026-03-22 16:42:15,baru download and ga banget ini aplikasi ngaret nya tu ngaret bgt ga kaya sebelah cepett bgt gua baru nyoba and kecewa bener ga habis fikir sama ni aplikasi terus lain kali adain yg namanya fitur pembatalann yaaa ataaaauuu fitur penggantian menu lain kalii kesel bgt gua,negatif,baru download and ga banget ini aplikasi ngaret nya ngaret ga kaya sebelah cepett gua baru nyoba and kecewa bener ga habis fikir sama aplikasi terus lain kali adain namanya fitur pembatalann fitur penggantian menu lain kalii kesel gua,baru download and ga banget ini aplikasi ngaret nya ngaret ga kaya sebelah cepett gua baru nyoba and kecewa bener ga habis fikir sama aplikasi terus lain kali adain namanya fitur pembatalann fitur penggantian menu lain kalii kesel gua,baru download and tidak banget ini aplikasi ngaret nya ngaret tidak kayak sebelah cepett gua baru mencoba and kecewa benar tidak habis fikir sama aplikasi terus lain kali mengadakan namanya fitur pembatalan fitur penggantian menu lain kali kesel gua,baru download and tidak ini aplikasi ngaret ngaret tidak kayak sebelah cepett baru mencoba and kecewa benar tidak habis fikir sama aplikasi terus lain kali mengadakan namanya fitur pembatalan fitur penggantian menu lain kali kesel
Uang Palsu,5,dari kemarin gw pesen gofood ga dapet driver dah nyoba berkali' pun ga dpt mls bgt,2026-03-22 16:36:18,dari kemarin gw pesen gofood ga dapet driver dah nyoba berkali pun ga dpt mls bgt,positif,dari kemarin pesen gofood ga dapet driver dah nyoba berkali pun ga,dari kemarin pesen gofood ga dapet driver dah nyoba berkali pun ga,dari kemarin pesan gofood tidak dapat driver deh mencoba berkalih pun tidak,kemarin pesan gofood tidak dapat driver mencoba berkalih pun tidak
Devonio Rayyan,1,"DRIVER GA MAU AMBIL ORDERAN, PADA SOK KAYA, GACOAN 2 ITEM DOANG GAMAU NGAMBIL",2026-03-22 16:35:52,driver ga mau ambil orderan pada sok kaya gacoan item doang gamau ngambil,negatif,driver ga mau ambil orderan pada sok kaya gacoan item doang gamau ngambil,driver ga mau ambil orderan pada sok kaya gacoan item doang gamau ngambil,driver tidak mau ambil orderan pada sok kayak gacoan item doang enggak mau ngambil,driver tidak mau ambil orderan pada sok kayak gacoan item enggak mau ngambil
Aleena Athifa zahra,1,"sistem yg kurang pasti, saat memesan tbtb di batalkan, payah",2026-03-22 16:26:57,sistem yg kurang pasti saat memesan tbtb di batalkan payah,negatif,sistem kurang pasti saat memesan batalkan payah,sistem kurang pasti saat memesan batalkan payah,sistem kurang pasti saat memesan batalkan payah,sistem kurang pasti saat memesan batalkan payah
Muhamad Pasha Anggara,5,serba cepet jadinya,2026-03-22 16:25:32,serba cepet jadinya,positif,serba cepet jadinya,serba cepet jadinya,serba cepat jadinya,serba cepat jadinya
Hebing Kurniawan,5,sangat membantu,2026-03-22 16:24:06,sangat membantu,positif,sangat membantu,sangat membantu,sangat membantu,sangat membantu
Fendra Tan,5,"Akhir"" ini pesen gojek lama bgt saya jadi telat sekolah gara"" lelet driver nya, sya pinda aplikasi sebelah langsung gercep.",2026-03-22 16:21:24,akhir ini pesen gojek lama bgt saya jadi telat sekolah gara lelet driver nya sya pinda aplikasi sebelah langsung gercep,positif,akhir ini pesen gojek lama saya jadi telat sekolah gara lelet driver nya sya pinda aplikasi sebelah langsung gercep,akhir ini pesen gojek lama saya jadi telat sekolah gara lelet driver nya sya pinda aplikasi sebelah langsung gercep,akhir ini pesan gojek lama saya jadi telat sekolah gara lelet driver nya saya pinda aplikasi sebelah langsung gercep,akhir ini pesan gojek lama saya jadi telat sekolah gara lelet driver saya pinda aplikasi sebelah langsung gercep
Qalesya Echa,1,"hr ini order food,ad psn'an yg krng avocado fload,sy langsung chat CS,di suruh kirim fhto orderan nye dan dah sy kirim kta nye lg di proses,trus masuk email klo fhto yg di kirim kurang jelas jd mnta di kirim lg sdng kan ad mkn'an yg dah di mkn sprti nasi,ayam,puding,kentang dan burger tp bungkus nye msh ad jd sy fhto ulang mkn'an yg trsisa dngan bngkus mkn'an yg telah di mkn,td msuk email blng gk bisa di proses krna laporan krng lengkap,chat cuma bisa buka kamera langsung tp gk bisa buka galeri",2026-03-22 16:20:54,hr ini order foodad psnan yg krng avocado floadsy langsung chat csdi suruh kirim fhto orderan nye dan dah sy kirim kta nye lg di prosestrus masuk email klo fhto yg di kirim kurang jelas jd mnta di kirim lg sdng kan ad mknan yg dah di mkn sprti nasiayampudingkentang dan burger tp bungkus nye msh ad jd sy fhto ulang mknan yg trsisa dngan bngkus mknan yg telah di mkntd msuk email blng gk bisa di proses krna laporan krng lengkapchat cuma bisa buka kamera langsung tp gk bisa buka galeri,negatif,ini order food avocado fload langsung chat suruh kirim fhto orderan nye dan dah kirim kta nye proses trus masuk email klo fhto kirim kurang jelas mnta kirim kan dah nasi ayam puding kentang dan burger bungkus nye fhto ulang trsisa telah msuk email gk bisa proses krna laporan lengkap chat cuma bisa buka kamera langsung gk bisa buka galeri,ini order food avocado fload langsung chat suruh kirim fhto orderan nye dan dah kirim kta nye proses trus masuk email klo fhto kirim kurang jelas mnta kirim kan dah nasi ayam puding kentang dan burger bungkus nye fhto ulang trsisa telah msuk email gk bisa proses krna laporan lengkap chat cuma bisa buka kamera langsung gk bisa buka galeri,ini order food avocado fload langsung chat suruh kirim fhto orderan nye dan deh kirim kita nye proses terus masuk email kalo fhto kirim kurang jelas minta kirim kan deh nasi ayam puding kentang dan burger bungkus nye fhto ulang tersisa telah masuk email tidak bisa proses karena laporan lengkap chat cuma bisa buka kamera langsung tidak bisa buka galeri,ini food avocado fload langsung chat suruh kirim fhto orderan nye dan kirim kita nye proses terus masuk email fhto kirim kurang jelas minta kirim kan nasi ayam puding kentang dan burger bungkus nye fhto ulang tersisa telah masuk email tidak bisa proses karena laporan lengkap chat cuma bisa buka kamera langsung tidak bisa buka galeri
saerra,1,ngasih promo potongan besar tapi ga mikirin driver. kayak gini jadi susah dapetin driver kalo mesen gofood. ga mikirin customer juga udah kelaparan tapi dipaksa nunggu nyari driver setengah jam lebih. gabisa di cancel kalo belum melewati batas waktu yg di tentukan. MIKIR KIDS😔👈🏻,2026-03-22 16:05:50,ngasih promo potongan besar tapi ga mikirin driver kayak gini jadi susah dapetin driver kalo mesen gofood ga mikirin customer juga udah kelaparan tapi dipaksa nunggu nyari driver setengah jam lebih gabisa di cancel kalo belum melewati batas waktu yg di tentukan mikir kids,negatif,ngasih promo potongan besar tapi ga mikirin driver kayak gini jadi susah dapetin driver kalo mesen gofood ga mikirin customer juga udah kelaparan tapi dipaksa nunggu nyari driver setengah jam lebih gabisa cancel kalo belum melewati batas waktu tentukan mikir kids,ngasih promo potongan besar tapi ga mikirin driver kayak gini jadi susah dapetin driver kalo mesen gofood ga mikirin customer juga udah kelaparan tapi dipaksa nunggu nyari driver setengah jam lebih gabisa cancel kalo belum melewati batas waktu tentukan mikir kids,mengasih promo potongan besar tapi tidak memikirkan driver kayak begini jadi susah mendapatkan driver kalo mesen gofood tidak memikirkan customer juga sudah kelaparan tapi dipaksa menunggu mencari driver setengah jam lebih enggak bisa cancel kalo belum melewati batas waktu tentukan mikir kids,mengasih promo potongan besar tapi tidak memikirkan driver kayak begini jadi susah mendapatkan driver mesen gofood tidak memikirkan customer sudah kelaparan tapi dipaksa menunggu mencari driver setengah jam lebih enggak bisa cancel belum melewati batas waktu tentukan mikir kids
Adji Prayoga,1,dapat banyak voucher/diskon tapi gak sesuai.,2026-03-22 16:02:24,dapat banyak voucherdiskon tapi gak sesuai,negatif,dapat banyak voucher diskon tapi gak sesuai,dapat banyak voucher diskon tapi gak sesuai,dapat banyak voucer diskon tapi enggak sesuai,dapat banyak voucer diskon tapi enggak sesuai
Hariadi Diyar,5,mantap,2026-03-22 15:55:17,mantap,positif,mantap,mantap,mantap,mantap
Yeni Anggraeni,5,Aman ok,2026-03-22 15:54:56,aman ok,positif,aman ok,aman ok,aman baik,aman baik
Aris Susmanto,1,"pemesanan Go food sangat merugikan & menjengkelkan,. masa pencarian Driver bisa 1 jam lebih. makanan udah dingin, lama sampainya lagi.. gx ada penjelasan dari Gojeknya juga. jangan pernah lagi pakai aplikasi Gojek.",2026-03-22 15:54:36,pemesanan go food sangat merugikan menjengkelkan masa pencarian driver bisa jam lebih makanan udah dingin lama sampainya lagi gx ada penjelasan dari gojeknya juga jangan pernah lagi pakai aplikasi gojek,negatif,pemesanan food sangat merugikan masa pencarian driver bisa jam lebih makanan udah dingin lama sampainya lagi ada penjelasan dari gojeknya juga jangan pernah lagi pakai aplikasi gojek,pemesanan food sangat merugikan masa pencarian driver bisa jam lebih makanan udah dingin lama sampainya lagi ada penjelasan dari gojeknya juga jangan pernah lagi pakai aplikasi gojek,pemesanan food sangat merugikan masa pencarian driver bisa jam lebih makanan sudah dingin lama sampainya lagi ada penjelasan dari gojeknya juga jangan pernah lagi pakai aplikasi gojek,pemesanan food sangat merugikan masa pencarian driver bisa jam lebih makanan sudah dingin lama sampainya lagi ada penjelasan gojeknya jangan pernah lagi pakai aplikasi gojek
erwin besung,1,terlalu mahal sekarang,2026-03-22 15:52:43,terlalu mahal sekarang,negatif,terlalu mahal sekarang,terlalu mahal sekarang,terlalu mahal sekarang,terlalu mahal sekarang
Sukma Wijaya,1,susah dapat Drive,2026-03-22 15:46:13,susah dapat drive,negatif,susah dapat drive,susah dapat drive,susah dapat drive,susah dapat drive
